song,lyrics,genre
Bad Day,"Where is the moment we needed the most?You kick up the leaves and the magic is lostThey tell me your blue skies fade to greyThey tell me your passion's gone away And I don't need no carryin' on You stand in the line just to hit a new lowYou're faking a smile with the coffee to goAnd tell me your life's been way offlineYou're falling to pieces every time And I don't need no carryin' on 'Cause you had a bad day, you're taking one downYou sing a sad song just to turn it aroundYou say you don't know, you tell me, """"Don't lie""""You work at a smile, and you go for a rideYou had a bad day, the camera don't lieYou're coming back down, and you really don't mindYou had a bad dayYou had a bad day Well, you need a blue sky holidayThe point is they laugh at what you say And I don't need no carryin' on You had a bad day, you're taking one downYou sing a sad song just to turn it aroundYou say you don't know, you tell me, """"Don't lie""""You work at a smile, and you go for a rideYou had a bad day, the camera don't lieYou're coming back down, and you really don't mindYou had a bad day Sometimes the system goes on the blinkAnd the whole thing turns out wrongYou might not make it back, and you knowThat you could be well, oh, that strongAnd I'm not wrong, yeah So where is the passion when you need it the most?Oh, you and IYou kick up the leaves, and the magic is lost 'Cause you had a bad day, you're taking one downYou sing a sad song just to turn it aroundYou say you don't know, you tell me, """"Don't lie""""You work at a smile, and you go for a rideYou had a bad day, you've seen what you likeAnd how does it feel for one more time?You had a bad dayYou had a bad day Ah, had a bad dayAh, had a bad dayAh, had a bad dayAh...",pop
Here with Me,"I didn't hear you leaveI wonder how am I still hereAnd I don't want to move a thingIt might change my memory Oh, I am what I amI'll do what I want, but I can't hide And I won't go, I won't sleepI can't breathe, until you're resting here with meAnd I won't leave and I can't hideI cannot be, until you're resting here with me I don't want to call my friendsThey might wake me from this dreamAnd I can't leave this bedRisk forgetting all that's been Oh, I am what I amI'll do what I want, but I can't hide And I won't go, I won't sleepAnd I can't breathe, until you're resting here with meAnd I won't leave and I can't hideI cannot be, until you're resting here And I won't go and I won't sleepAnd I can't breathe, until you're resting here with meAnd I won't leave and I can't hideI cannot be, until you're resting here with me Oh, I am what I amI'll do what I want, but I can't hide And I won't go, I won't sleepAnd I can't breathe, until you're resting here with meAnd I won't leave and I can't hideI cannot be, until you're resting here And I won't go and I won't sleepAnd I can't breathe, until you're resting here with meAnd I won't leave and I can't hideI cannot be, until you're resting here with me",pop
Thank You,"My tea's gone coldI'm wondering why I got out of bed at allThe morning rain clouds up my windowAnd I can't see at all And even if I could, it'd all be greyBut your picture on my wallIt reminds me that it's not so badIt's not so bad I drank too much last night, got bills to payMy head just feels in painI missed the bus and there'll be hell todayI'm late for work again And even if I'm there, they'll all implyThat I might not last the dayAnd then you call me and it's not so badIt's not so bad And I want to thank youFor giving me the best day of my lifeOh, just to be with youIs having the best day of my life Push the door, I'm home at lastAnd I'm soaking through and throughAnd then you handed me a towelAnd all I see is youAnd even if my house falls down nowI wouldn't have a clueBecause you're near me And I want to thank youFor giving me the best day of my lifeOh, just to be with youIs having the best day of my life And I want to thank youFor giving me the best day of my lifeOh, just to be with youIs having the best day of my life",pop
White Flag,"I know you think that I shouldn't still love youOr tell you thatBut if I didn't say it, well, I'd still have felt itWhere's the sense in that? I promise I'm not trying to make your life harderOr return to where we were But I will go down with this shipAnd I won't put my hands up and surrenderThere will be no white flag above my doorI'm in love and always will be I know I left too much mess andDestruction to come back againAnd I caused nothing but troubleI understand if you can't talk to me againAnd if you live by the rules of 'it's over'Then I'm sure that that makes sense But I will go down with this shipAnd I won't put my hands up and surrenderThere will be no white flag above my doorI'm in love and always will be And when we meetWhich I'm sure we willAll that was thereWill be there still I'll let it passAnd hold my tongueAnd you will thinkThat I've moved on I will go down with this shipAnd I won't put my hands up and surrenderThere will be no white flag above my doorI'm in love and always will be I will go down with this shipAnd I won't put my hands up and surrenderThere will be no white flag above my doorI'm in love and always will be I will go down with this shipAnd I won't put my hands up and surrenderThere will be no white flag above my doorI'm in love and always will be",pop
Mercy,"Hit the beatAnd take it to the verse, nowYeah, yeah, yeahYeah, yeah, yeahYeah, yeah, yeahYeah, yeah, yeah I love youBut I gotta stay trueMy morals got me on my kneesI'm begging, please, stop playing games I don't know what this is'Cause you got me goodJust like you knew you wouldI don't know what you doBut you do it wellI'm under your spell You got me begging you for mercy (Yeah, yeah, yeah)Why won't you release me? (Yeah, yeah, yeah)You got me begging you for mercy (Yeah, yeah, yeah)Why won't you release me? (Yeah, yeah, yeah)I said release me (Yeah, yeah, yeah) Now you think that IWill be something on the sideBut you got to understandThat I need a manWho can take my hand, yes I do I don't know what this is'Cause you got me goodJust like you knew you wouldI don't know what you doBut you do it wellI'm under your spell You got me begging you for mercy (Yeah, yeah, yeah)Why won't you release me? (Yeah, yeah, yeah)You got me begging you for mercy (Yeah, yeah, yeah)Why won't you release me? (Yeah, yeah, yeah)I said you'd better release (Yeah, yeah, yeah)Yeah, yeah, yeah I'm begging you for mercyYou look at me and think we're the same kind'Cause you don't know what I got andYes, why won't you release me?I'm gonna get more than I'm asking forBut I just don't want to waste my timeI'm begging you for mercyYou know that I'll be the other girlJust like there's nothing in this worldYou got me beggingI know that I'm gonna get me someI just don't know where to get it fromYou got me beggingYou got me begging Mercy (Yeah, yeah, yeah)Why won't you release me? (Yeah, yeah, yeah)I'm begging you for mercy (Yeah, yeah, yeah)Why won't you release me? (Yeah, yeah, yeah) You got me begging you for mercy (Yeah, yeah, yeah)I'm begging you for mercy (Yeah, yeah, yeah)I'm begging you for mercy (Yeah, yeah, yeah)I'm begging you for mercy (Yeah, yeah, yeah)I'm begging you for mercy (Yeah, yeah, yeah)Why won't you release me, yeah! yeah!Break it downMercy, begging you for mercyYou got me beggingDown on my kneesYou got me beggingBegging you for mercyYou got me beggingEeeeh, eeeehEeeh, oooh",pop
Hollaback Girl,"Uh huh, this my shitAll the girls stomp your feet like this A few times I've been around that trackSo it's not just gonna happen like that'Cause I ain't no hollaback girlI ain't no hollaback girl A few times I've been around that trackSo it's not just gonna happen like that'Cause I ain't no hollaback girlI ain't no hollaback girl Ooh, ooh, this my shit, this my shitOoh, ooh, this my shit, this my shitOoh, ooh, this my shit, this my shitOoh, ooh, this my shit, this my shit I heard that you were talking shitAnd you didn't think that I would hear itPeople hear you talking like thatGetting everybody fired up So I'm ready to attack, gonna lead the packGonna get a touchdown, gonna take you outThat's right, put your pom-poms downsGetting everybody fired up A few times I've been around that trackSo it's not just gonna happen like that'Cause I ain't no hollaback girlI ain't no hollaback girl A few times I've been around that trackSo it's not just gonna happen like that'Cause I ain't no hollaback girlI ain't no hollaback girl Ooh, ooh, this my shit, this my shitOoh, ooh, this my shit, this my shitOoh, ooh, this my shit, this my shitOoh, ooh, this my shit, this my shit So that's right dude, meet me at the bleachersNo principals, no student-teachersBoth of us want to be the winner, but there can only be one So I'm gonna fight, gonna give it my allGonna make you fall, gonna sock it to youThat's right I'm the last one standing, another one bites the dust Few times I've been around that trackSo it's not just gonna happen like that'Cause I ain't no hollaback girlI ain't no hollaback girl A few times I've been around that trackSo it's not just gonna happen like that'Cause I ain't no hollaback girlI ain't no hollaback girl Ooh, ooh, this my shit, this my shitOoh, ooh, this my shit, this my shitOoh, ooh, this my shit, this my shitOoh, ooh, this my shit, this my shit Let me hear you say, this shit is bananasB-A-N-A-N-A-SThis shit is bananasB-A-N-A-N-A-S Again, the shit is bananasB-A-N-A-N-A-SThis shit is bananasB-A-N-A-N-A-S A few times I've been around that trackSo it's not just gonna happen like that'Cause I ain't no hollaback girlI ain't no hollaback girl A few times I've been around that trackSo it's not just gonna happen like that'Cause I ain't no hollaback girlI ain't no hollaback girl Ooh, ooh, this my shit, this my shitOoh, ooh, this my shit, this my shitOoh, ooh, this my shit, this my shitOoh, ooh, this my shit, this my shit",pop
Cry Me a River,"You were my sunYou were my earthBut you didn't know all the ways I loved you, noSo you took a chanceAnd made other plansBut I bet you didn't think that they would come crashing down, no You don't have to say what you didI already know, I found out from himNow there's just no chance for you and meThere'll never beAnd don't it make you sad about it You told me you loved meWhy did you leave me all aloneNow you tell me you need meWhen you call me on the phoneGirl I refuseYou must have me confusedWith some other guyThe bridges were burnedNow it's your turnTo cry Cry me a riverCry me a riverCry me a riverCry me a river Know that they sayThat some things are better left unsaidIt wasn't like you only talked to him and you know it(Don't act like you don't know it) All of these things people told meKeep messing with my head(Messing with my head)Should've picked honestyThen you may not have blown it You don't have to say(Don't have to say),what you did(what you did)I already know(i already know), I found out from himNow there's just no chance(no chance), for you and me(you and me)There'll never beAnd don't it make you sad about it You told me you loved meWhy did you leave me all alone(All alone)Now you tell me you need meWhen you call me on the phone(When you call me on the phone)Girl I refuseYou must have me confusedWith some other guy(I'm not like them baby)The bridges were burnedAnd now it's your turn(It's your turn)To cry So cry me a river(Go on and just)Cry me a river(Go on and just)Cry me a river(Baby go on and just)Cry me a river The damage is doneSo I guess I'll be leavingThe damage is doneSo I guess I'll be leavingThe damage is doneSo I guess I'll be leavingThe damage is doneSo I guess I'll be leaving You don't have to say(Don't have to say),what you did(what you did)I already know(i already know), I found out from himNow there's just no chance(no chance), for you and me(you and me)There'll never beAnd don't it make you sad about it Cry me a river(Go on and just)Cry me a river(Baby go on and just)Cry me a river(You can go on and just)Cry me a river Cry me a river(Baby go on and just)Cry me a river(Go on and just)Cry me a river('Cause I've already cried)Cry me a river(Ain't gonna cry no more) Cry me a riverCry me a riverCry me a riverCry me a river Cry me a river(Cry me, cry me)Cry me a river(Cry me, cry me)Cry me a river(Cry me, cry me)Cry me a river(Cry me, cry me) Cry me a river(Cry me, cry me)Cry me a river(Cry me, cry me)Cry me a river(Cry me, cry me)",pop
Hot n Cold,"You change your mind like a girl changes clothesYeah, you, PMS like a bitch, I would knowAnd you overthink, always speak crypticallyI should know that you're no good for me 'Cause you're hot, then you're coldYou're yes, then you're noYou're in, then you're outYou're up, then you're downYou're wrong when it's rightIt's black, and it's whiteWe fight, we break upWe kiss, we make up (You) you don't really wanna stay, no(You) but you don't really wanna go, oh You're hot, then you're coldYou're yes, then you're noYou're in, then you're outYou're up, then you're down We used to be just like twins, so in syncThe same energy, now's a dead batteryUsed to laugh (used to laugh) 'bout nothing ('bout nothing)Now you're plain (now you're plain), boring (boring)I should know (I should know) that you're not gonna change 'Cause you're hot, then you're coldYou're yes, then you're noYou're in, then you're outYou're up, then you're downYou're wrong when it's rightIt's black, and it's whiteWe fight, we break upWe kiss, we make up (You) you don't really wanna stay, no(You) but you don't really wanna go, oh You're hot, then you're coldYou're yes, then you're noYou're in, then you're outYou're up, then you're down Someone, call the doctorGot a case of a love bipolarStuck on a rollercoasterCan't get off this rideYou change your mind like a girl changes clothes 'Cause you're hot, then you're coldYou're yes, then you're noYou're in, then you're outYou're up, then you're downYou're wrong when it's rightIt's black, and it's whiteWe fight, we break upWe kiss, we make up You're hot, then you're coldYou're yes, then you're noYou're in, then you're outYou're up, then you're downYou're wrong when it's rightIt's black and it's whiteWe fight, we break upWe kiss, we make up (You) you don't really wanna stay, no(You) but you don't really wanna go, oh You're hot, then you're coldYou're yes, then you're noYou're in, then you're outYou're up, then you're down",pop
I Kissed a Girl,"This was never the way I planned, not my intention.I got so brave, drink in hand, lost my discretionIt's not what I'm used to, just wanna try you onI'm curious for you, baby, caught my attention I kissed a girl and I liked it, the taste of her cherry chapstickI kissed a girl just to try it, I hope my boyfriend don't mind itIt felt so wrong, it felt so right, don't mean I'm in love tonightI kissed, I kissed a girl and I liked it, I liked it No, I don't even know your name, it doesn't matterYou're my experimental game, just human natureIt's not what good girls do, not how they should behaveMy head gets so confused, hard to obey I kissed a girl and I liked it, the taste of her cherry chapstickI kissed a girl just to try it, I hope my boyfriend don't mind itIt felt so wrong, it felt so right, don't mean I'm in love tonightI kissed a girl and I liked it, I liked it Us girls we are so magical, soft skin, red lips, so kissableHard to resist, so touchable, too good to deny itIt ain't no big deal, it's innocent, yeah!Oooh, oooh, oooh yeah! I kissed a girl and I liked it, the taste of her cherry chapstickI kissed a girl just to try it, I hope my boyfriend don't mind itIt felt so wrong, it felt so right, don't mean I'm in love tonightI kissed a girl and I liked it, I liked it",pop
Because of You,"I will not make the same mistakes that you didI will not let myself cause my heart so much miseryI will not break the way you didYou fell so hardI've learned the hard way, to never let it get that far Because of youI never stray too far from the sidewalkBecause of youI learned to play on the safe sideSo I don't get hurtBecause of youI find it hard to trustNot only me, but everyone around meBecause of youI am afraid I lose my wayAnd it's not too long before you point it outI cannot cryBecause I know that's weakness in your eyesI'm forced to fake a smile, a laughEvery day of my lifeMy heart can't possibly breakWhen it wasn't even whole to start with Because of youI never stray too far from the sidewalkBecause of youI learned to play on the safe sideSo I don't get hurtBecause of youI find it hard to trustNot only me, but everyone around meBecause of youI am afraid I watched you dieI heard you cryEvery night in your sleepI was so youngYou should have known better than to lean on meYou never thought of anyone elseYou just saw your painAnd now I cryIn the middle of the nightFor the same damn thing Because of youI never stray too far from the sidewalkBecause of youI learned to play on the safe sideSo I don't get hurtBecause of youI find it hard to trustNot only me, but everyone around meBecause of youI am afraid Because of youBecause of you",pop
Can't Get You Out of My Head,"La la laLa la la-la-laLa la laLa la la-la-la La la laLa la la-la-laLa la laLa la la-la-la I just can't get you out of my headBoy, your loving is all I think aboutI just can't get you out of my headBoy, it's more than I dare to think about La la laLa la la-la-laLa la laLa la la-la-la I just can't get you out of my headBoy, your loving is all I think aboutI just can't get you out of my headBoy, it's more than I dare to think about Every night, every dayJust to be there in your arms Won't you stay?Won't you lay?Stay forever and everAnd ever and ever La la laLa la la-la-laLa la laLa la la-la-la La la laLa la la-la-laLa la laLa la la-la-la I just can't get you out of my headBoy, your loving is all I think aboutI just can't get you out of my headBoy, it's more than I dare to think about There's a dark secret in meDon't leave me locked in your heart Set me freeFeel the need in meSet me freeStay forever and everAnd ever and ever La la laLa la la-la-laLa la laLa la la-la-la La la laLa la la-la-laLa la laLa la la-la-la I just can't get you out of my headLa la la-la-la...I just can't get you out of my headLa la la-la-la... I just can't get you out of my head (ooh)La la la-la-la... (ooh)",pop
Alejandro,"I know that we are youngAnd I know that you may love meBut I just can't be with you like this anymoreAlejandro She's got both hands in her pocketAnd she won't look at you, won't look at youShe hides true love en su bolsilloShe's got a halo around her finger, around you You know that I love you, boyHot like Mexico, rejoiceAt this point, I've gotta chooseNothing to lose Don't call my name, don't call my name, AlejandroI'm not your babe, I'm not your babe, FernandoDon't wanna kiss, don't wanna touchJust smoke my cigarette and hushDon't call my name, don't call my name, Roberto Alejandro, AlejandroAle-Alejandro, Ale-AlejandroAlejandro, AlejandroAle-Alejandro, Ale-Alejandro Stop, please, just let me goAlejandro, just let me go She's not broken, she's just a babyBut her boyfriend's like her dad, just like a dadAnd all those flames that burned before himNow he's gotta firefight, got cool the bad You know that I love you, boyHot like Mexico, rejoiceAt this point, I've gotta chooseNothing to lose Don't call my name, don't call my name, AlejandroI'm not your babe, I'm not your babe, FernandoDon't wanna kiss, don't wanna touchJust smoke my cigarette and hushDon't call my name, don't call my name, Roberto Alejandro, AlejandroAle-Alejandro, Ale-AlejandroAlejandro, AlejandroAle-Alejandro, Ale-Alejandro Don't bother me, don't bother me, AlejandroDon't call my name, don't call my name, bye, FernandoI'm not your babe, I'm not your babe, AlejandroDon't wanna kiss, don't wanna touch, Fernando Don't call my name, don't call my name, AlejandroI'm not your babe, I'm not your babe, FernandoDon't wanna kiss, don't wanna touchJust smoke my cigarette and hushDon't call my name, don't call my name, Roberto Alejandro, AlejandroAle-Alejandro, Ale-AlejandroAlejandro, AlejandroAle-Alejandro, Ale-Alejandro Don't call my name, don't call my name, AlejandroI'm not your babe, I'm not your babe, FernandoDon't wanna kiss, don't wanna touchJust smoke my cigarette and hushDon't call my name, don't call my name, Roberto Alejandro",pop
Bad Romance,"Oh-oh-oh-oh-ooohOh-oh-oh-oh-oooh, oh-oh-ohCaught in a bad romanceOh-oh-oh-oh-ooohOh-oh-oh-oh-oooh, oh-oh-ohCaught in a bad romance Rah, rah-ah-ah-ahRoma, roma-maGaga, ooh-la-laWant your bad romance Rah, rah-ah-ah-ahRoma, roma-maGaga, ooh-la-laWant your bad romance I want your ugly, I want your diseaseI want your everything as long as it's freeI want your love, love, love, loveI want your love I want your drama, the touch of your handI want your leather-studded kiss in the sandI want your love, love, love, loveI want your love (love, love, love, I want your love) You know that I want youAnd you know that I need youI want it bad, your bad romance I want your love, and I want your revengeYou and me could write a bad romanceI want your love and all your lover's revengeYou and me could write a bad romance Oh-oh-oh-oh-ooohOh-oh-oh-oh-oooh, oh-oh-ohCaught in a bad romanceOh-oh-oh-oh-ooohOh-oh-oh-oh-oooh, oh-oh-ohCaught in a bad romance Rah, rah-ah-ah-ahRoma, roma-maGaga, ooh-la-laWant your bad romance I want your horror, I want your design'Cause you're a criminal as long as you're mineI want your love, love, love, loveI want your love I want your psycho, your vertigo shtickWant you in my rear window, baby, you're sickI want your love, love, love, loveI want your love (love, love, love, I want your love) You know that I want youAnd you know that I need you ('cause I'm a free bitch, baby)I want it bad, your bad romance I want your love, and I want your revengeYou and me could write a bad romanceI want your love and all your lover's revengeYou and me could write a bad romance Oh-oh-oh-oh-ooohOh-oh-oh-oh-oooh, oh-oh-ohCaught in a bad romanceOh-oh-oh-oh-ooohOh-oh-oh-oh-oooh, oh-oh-ohCaught in a bad romance Rah, rah-ah-ah-ahRoma, roma-maGaga, ooh-la-laWant your bad romance Rah, rah-ah-ah-ahRoma, roma-maGaga, ooh-la-laWant your bad romance Walk, walk, fashion babyWork it, move that bitch crazyWalk, walk, fashion babyWork it, move that bitch crazyWalk, walk, fashion babyWork it, move that bitch crazyWalk, walk, passion babyWork it, I'm a free bitch, baby I want your love, and I want your revengeI want your love, I don't wanna be friendsJ'veux ton amour, et je veux ta revancheJ'veux ton amour, I don't wanna be friends No, I don't wanna be friends (caught in a bad romance)I don't wanna be friends, want your bad romanceCaught in a bad romanceWant your bad romance I want your love, and I want your revengeYou and me could write a bad romanceI want your love and all your lover's revengeYou and me could write a bad romance Oh-oh-oh-oh-ooohOh-oh-oh-oh-oooh, oh-oh-ohWant your bad romanceCaught in a bad romanceWant your bad romance (oh-oh-oh-oh-oooh...)Want your bad romanceCaught in a bad romance Rah, rah-ah-ah-ahRoma, roma-maGaga, ooh-la-laWant your bad romance",pop
Just Dance,"RedOneKonvictGaga (oh-oh, eh) I've had a little bit too much, much (Oh, oh, oh-oh)All of the people start to rush (Start to rush by)A dizzy twister danceCan't find my drink or manWhere are my keys?I lost my phone, phone (Oh, oh, oh-oh) What's going on on the floor?I love this record, baby, but I can't see straight anymoreKeep it coolWhat's the name of this club?I can't remember, but it's alright, alright Just danceGonna be okayDa-da-doo-doot-n, just danceSpin that record, babeDa-da-doo-doot-n, just danceGonna be okayDa-da-da-dance, dance, danceJust j-j-just dance Wish I could shut my playboy mouth (Oh, oh, oh-oh)How'd I turn my shirt inside out? (Inside out, right)Control your poison, babeRoses have thorns, they sayAnd we're all gettin' hosed tonight (Oh, oh, oh-oh) What's going on on the floor?I love this record, baby, but I can't see straight anymoreKeep it coolWhat's the name of this club?I can't remember, but it's alright, alright Just danceGonna be okayDa-da-doo-doot-n, just danceSpin that record, babeDa-da-doo-doot-n, just danceGonna be okayDa-da-da-dance, dance, danceJust j-j-just dance When I come through on the dance floor, checking out that catalogueCan't believe my eyesSo many women without a flawAnd I ain't gonna give it upSteady, tryna pick it up, like a callI'mma hit it, I'mma beat it and latch onto it until tomorrow, yeahShorty, I can see that you got so much energyThe way you twirling up them hips 'round and 'roundAnd there is no reason at all why you can't leave here with meIn the meantime, stay and let me watch you break it down And danceGonna be okayDa-da-doo-doot-n, just danceSpin that record, babeDa-da-doo-doot-n, just danceGonna be okayDa-da-doo-doot-n, just danceSpin that record, babeDa-da-doo-doot-n, just danceGonna be okayDa-da-da-dance, dance, danceJust j-j-just dance (Incredible... amazing... music)Wooo!Let's go! Half psychotic, sick, hypnotic, got my blueprint, it's symphonicHalf psychotic, sick, hypnotic, got my blueprint, electronicHalf psychotic, sick, hypnotic, got my blueprint, it's symphonicHalf psychotic, sick, hypnotic, got my blueprint, electronicGo!Use your muscle, carve it out, work it, hustle(I got it, just stay close enough to get it on)Don't slow!Drive it, clean it, Lysol, bleed itSpend the last dough (I got it) in your pock-o (I got it) Just danceGonna be okayDa-da-doo-doot-n, just danceSpin that record, babeDa-da-doo-doot-n, just danceGonna be okayDa-da-doo-doot-n, just danceSpin that record, babeDa-da-doo-doot-n, just danceGonna be okayDa-da-da-dance, dance, danceJust j-j-just dance",pop
Paparazzi,"We are the crowdWe're c-coming outGot my flash on, it's trueNeed that picture of youIt's so magicalWe'd be so fantastical Leather and jeansGarage glamorousNot sure what it meansBut this photo of usIt don't have a priceReady for those flashing lights'Cause you know that, baby, I I'm your biggest fanI'll follow you until you love mePapa-paparazziBaby, there's no other superstarYou know that I'll beYour papa-paparazzi Promise I'll be kindBut I won't stop until that boy is mineBaby, you'll be famousChase you down until you love mePapa-paparazzi I'll be your girlBackstage at your showVelvet ropes and guitarsYeah, 'cause you're my rock starIn between the setsEyeliner and cigarettes Shadow is burnt yellow, dance and we turnMy lashes are dryPurple teardrops I cryIt don't have a priceLoving you is cherry pie'Cause you know that, baby, I I'm your biggest fanI'll follow you until you love mePapa-paparazziBaby, there's no other superstarYou know that I'll beYour papa-paparazzi Promise I'll be kindBut I won't stop until that boy is mineBaby, you'll be famousChase you down until you love mePapa-paparazzi Real good, we dance in the studioSnap, snap, to that shit on the radioDon't stop for anyoneWe're plastic, but we still have fun I'm your biggest fanI'll follow you until you love mePapa-paparazziBaby, there's no other superstarYou know that I'll beYour papa-paparazzi Promise I'll be kindBut I won't stop until that boy is mineBaby, you'll be famousChase you down until you love mePapa-paparazzi",pop
Poker Face,"Mum-mum-mum-mahMum-mum-mum-mahMum-mum-mum-mahMum-mum-mum-mahMum-mum-mum-mah I wanna hold 'em like they do in Texas, pleaseFold 'em, let 'em hit me, raise it, baby, stay with me (I love it)LoveGame intuition, play the cards with spades to startAnd after he's been hooked, I'll play the one that's on his heart Oh, oh-oh, oh, oh, oh-oh-oh-oh, oh, ohI'll get him hot, show him what I gotOh, oh-oh, oh, oh, oh-oh-oh-oh, oh, ohI'll get him hot, show him what I got Can't read my, can't read myNo, he can't read my poker face(She's got me like nobody)Can't read my, can't read myNo, he can't read my poker face(She's got me like nobody) Po-po-po-poker face, fu-fu-fuck her face(Mum-mum-mum-mah)Po-po-po-poker face, fu-fu-fuck her face(Mum-mum-mum-mah) I wanna roll with him, a hard pair we will beA little gambling is fun when you're with me (I love it)Russian Roulette is not the same without a gunAnd, baby, when it's love, if it's not rough, it isn't fun (fun) Oh, oh-oh, oh, oh, oh-oh-oh-oh, oh, ohI'll get him hot, show him what I've gotOh, oh-oh, oh, oh, oh-oh-oh-oh, oh, ohI'll get him hot, show him what I've got Can't read my, can't read myNo, he can't read my poker face(She's got me like nobody)Can't read my, can't read myNo, he can't read my poker face(She's got me like nobody) Po-po-po-poker face, fu-fu-fuck her face(Mum-mum-mum-mah)Po-po-po-poker face, fu-fu-fuck her face(Mum-mum-mum-mah)(Mum-mum-mum-mah)(Mum mum mum mah) I won't tell you that I love you, kiss, or hug you'Cause I'm bluffin' with my muffinI'm not lying, I'm just stunnin' with my love-glue gunningJust like a chick in the casinoTake your bank before I pay you outI promise this, promise thisCheck this hand 'cause I'm marvelous Can't read my, can't read myNo, he can't read my poker face(She's got me like nobody)Can't read my, can't read myNo, he can't read my poker face(She's got me like nobody) Can't read my, can't read myNo, he can't read my poker face(She's got me like nobody)Can't read my, can't read myNo, he can't read my poker face(She's got me like nobody) Can't read my, can't read myNo, he can't read my poker face(She's got me like nobody)Can't read my, can't read myNo, he can't read my poker face(She's got me like nobody) Po-po-po-poker face, fu-fu-fuck her facePo-po-po-poker face, fu-fu-fuck her face (she's got me like nobody)Po-po-po-poker face, fu-fu-fuck her face(Mum-mum-mum-mah)Po-po-po-poker face, fu-fu-fuck her face(Mum-mum-mum-mah) Po-po-po-poker face, fu-fu-fuck her face(Mum-mum-mum-mah)Po-po-po-poker face, fu-fu-fuck her face(Mum-mum-mum-mah)",pop
Smile,"When you first left me, I was wantin' moreBut you were f--n' that girl next doorWhat you do that for? (What you do that for?) When you first left me, I didn't know what to sayI never been on my own that wayJust sat by myself all day I was so lost back thenBut with a little help from my friendsI found a light in the tunnel at the endNow you're calling me up on the phoneSo you can have a little whine and a moanAnd it's only because you're feelin' alone At first, when I see you cryYeah, it makes me smileYeah, it makes me smileAt worst, I feel bad for a whileBut then I just smileI go ahead and smile Whenever you see meYou say that you want me back (Want me back)And I tell you it don't mean jack (It don't mean jack)No, it don't mean jack (It don't mean jack) I couldn't stop laughingNo, I just couldn't help myself (Help myself)See you messed up my mental healthI was quite unwell I was so lost back thenBut with a little help from my friendsI found a light in the tunnel at the endNow you're calling me up on the phoneSo you can have a little whine and a moanAnd it's only because you're feeling alone At first, when I see you cryYeah, it makes me smileYeah, it makes me smileAt worst, I feel bad for a whileBut then I just smileI go ahead and smile La-la-la, la-la-la, la-la-la, la-la-laLa-la-la, la-la-la, la-la-la, la-la-laLa-la-la, la-la-la, la-la-la, la-la-laLa-la-la At first when I see you cry (When I see you cry)Yeah, it makes me smile (Makes me smile)Yeah, it makes me smile (Yeah, it makes me smile)At worst, I feel bad for a while (I feel bad for a while)But then I just smile (But then I just smile)I go ahead and smile (I go ahead and smile) At first when I see you cry (When I see you cry)Yeah, it makes me smile (Yeah, it makes me smile)Yeah, it makes me smile (It makes me smile)At worst, I feel bad for a while (Feel bad for a while)But then I just smile (Then I just smile)I go ahead and smile (I go ahead and smile)",pop
Hung Up,"Time goes by so slowlyTime goes by so slowlyTime goes by so slowlyTime goes by so slowlyTime goes by so slowlyTime goes by so slowly Every little thing that you say or doI'm hung upI'm hung up on youWaiting for your call, baby, night an dayI'm fed upI'm tired of waitin' on you Time goes by so slowly for those who waitNo time to hesitateThose who run seem to have all the fun, I'm caught upI don't know what to do Time goes by so slowlyTime goes by so slowlyTime goes by so slowlyI don't know what to do Every little thing that you say or doI'm hung upI'm hung up on youWaiting for your call, baby, night and dayI'm fed upI'm tired of waitin' on you Every little thing that you say or doI'm hung upI'm hung up on youWaiting for your call, baby, night and dayI'm fed upI'm tired of waitin' on you Ring, ring, ring, goes the telephoneThe lights are on but there's no one homeTick, tick, tock, it's a quarter to twoAnd I'm done, I'm hangin' up on you I can't keep on waiting for youI know that you're still hesitatingDon't cry for me, 'cause I'll find my wayYou'll wake up one day But it'll be too late Every little thing that you say or doI'm hung upI'm hung up on youWaiting for your call, baby, night and dayI'm fed upI'm tired of waiting on you Every little thing that you say or doI'm hung upI'm hung up on youWaiting for your call, baby, night and dayI'm fed upI'm tired of waiting on you Every little thing, every little thingI'm hung upI'm hung up on youWaiting for your call, waiting for your callI'm fed upI'm tired of waiting on you Time goes by so slowlyTime goes by so slowlyTime goes by so slowlyTime goes by so slowly So slowly, so slowly, so slowly, so slowlySo slowly, so slowly, so slowly, so slowlySo slowly, so slowly, so slowly, so slowlySo slowly, so- I don't know what to do Every little thing that you say or doI'm hung upI'm hung up on youWaiting for your call, baby, night and dayI'm fed upI'm tired of waitin' on you Every little thing that you say or doI'm hung upI'm hung up on youWaiting for your call, baby, night and dayI'm fed upI'm tired of waitin' on you Every little thing, every little thingI'm hung upI'm hung up on youWaiting for your call, waitin' for your callI'm fed upI'm tired of waitin' on you",pop
